Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,xG90,xA90,xG+xA90,npxG90,npxG+xA90
N'Golo Kanté,fr FRA,MF,29,14,14,1252 ,0,1,0,0,3,0,0,0.07,0.07,0,0.07,0.1,0.1,0.7,0.01,0.05,0.06,0.01,0.06
Timo Werner,de GER,FW,24,14,14,1203 ,4,4,0,0,0,0,0.3,0.3,0.6,0.3,0.6,6.4,6.4,2.3,0.48,0.17,0.65,0.48,0.65
Kurt Zouma,fr FRA,DF,26,13,13,1170 ,4,0,0,0,1,0,0.31,0,0.31,0.31,0.31,0.8,0.8,0,0.06,0,0.07,0.06,0.07
Mason Mount,eng ENG,"MF,FW",21,13,12,1080 ,1,3,0,0,2,0,0.08,0.25,0.33,0.08,0.33,1.3,1.3,2.2,0.11,0.18,0.29,0.11,0.29
Reece James,eng ENG,DF,21,12,11,994 ,1,2,0,0,3,0,0.09,0.18,0.27,0.09,0.27,0.5,0.5,1.7,0.05,0.15,0.2,0.05,0.2
Ben Chilwell,eng ENG,DF,24,11,11,900 ,2,3,0,0,1,0,0.2,0.3,0.5,0.2,0.5,0.9,0.9,1,0.09,0.1,0.19,0.09,0.19
Edouard Mendy,sn SEN,GK,28,10,10,900 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Silva,br BRA,DF,36,10,10,882 ,2,0,0,0,1,0,0.2,0,0.2,0.2,0.2,0.5,0.5,0.1,0.05,0.01,0.07,0.05,0.07
Kai Havertz,de GER,"MF,FW",21,12,10,768 ,1,1,0,0,1,0,0.12,0.12,0.23,0.12,0.23,1.3,1.3,0.7,0.16,0.08,0.23,0.16,0.23
Tammy Abraham,eng ENG,FW,23,13,7,692 ,5,1,0,0,0,0,0.65,0.13,0.78,0.65,0.78,4.3,4.3,0.9,0.56,0.11,0.67,0.56,0.67
Mateo Kovacic,hr CRO,MF,26,10,6,531 ,0,1,0,0,0,0,0,0.17,0.17,0,0.17,0.2,0.2,0.9,0.04,0.14,0.18,0.04,0.18
Jorginho,it ITA,MF,29,8,6,522 ,3,1,3,4,0,0,0.52,0.17,0.69,0,0.17,3.1,0.1,0.9,0.54,0.15,0.69,0.01,0.17
Hakim Ziyech,ma MAR,FW,27,7,5,388 ,1,3,0,0,1,0,0.23,0.7,0.93,0.23,0.93,0.3,0.3,2,0.08,0.46,0.54,0.08,0.54
Christian Pulisic,us USA,"FW,MF",22,7,4,425 ,1,0,0,0,0,0,0.21,0,0.21,0.21,0.21,1.3,1.3,0.7,0.28,0.15,0.42,0.28,0.42
César Azpilicueta,es ESP,DF,31,6,4,411 ,0,1,0,0,1,0,0,0.22,0.22,0,0.22,0.1,0.1,0,0.01,0.01,0.02,0.01,0.02
Andreas Christensen,dk DEN,DF,24,4,4,314 ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Olivier Giroud,fr FRA,FW,34,8,3,290 ,2,0,0,0,0,0,0.62,0,0.62,0.62,0.62,2.4,2.4,0.4,0.75,0.13,0.88,0.75,0.88
Kepa Arrizabalaga,es ESP,GK,26,3,3,270 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Alonso,es ESP,DF,29,3,3,225 ,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.03,0.02,0.05,0.03,0.05
Callum Hudson-Odoi,eng ENG,FW,20,5,1,171 ,1,0,0,0,0,0,0.53,0,0.53,0.53,0.53,0.3,0.3,0.2,0.15,0.11,0.26,0.15,0.26
Willy Caballero,ar ARG,GK,39,1,1,90 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger,de GER,DF,27,1,1,90 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Loftus-Cheek,eng ENG,FW,24,1,1,60 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson Palmieri,it ITA,DF,26,2,0,90 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fikayo Tomori,eng ENG,DF,23,1,0,45 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Barkley,eng ENG,MF,27,2,0,42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,0.16,0.22,0.06,0.22
Billy Gilmour,sco SCO,MF,19,1,0,9 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faustino Anjorin,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,
Karlo Ziger,hr CRO,GK,19,0,0,,,,,,,,,,,,,,,,,,,,
